start_frame,end_frame
0,153
154,323
324,385
386,447
448,489
490,594
595,655
656,932
933,1143
1144,1299
1300,1377
1378,1452
1453,1481
1482,1542
1543,1594
1595,1679
1681,1860
1861,1895
1896,1935
1936,2000
2001,2035
2036,2054
2055,2104
2105,2151
2153,2320
2322,2576
2578,2645
2646,2738
2739,2857
2858,3094
3095,3157
3158,3340
3341,3597
3598,3836
3837,3873
3876,3931
3932,4003
4004,4075
4076,4145
4146,4223
4224,4240
4241,4383
4384,4467
4468,4724
4725,4805
4806,4889
4890,4895
4899,4910
4911,5134
5136,5447
5449,5535
5536,5628
5629,5697
5698,5970
5971,6066
6068,6152
6153,6184
6185,6249
6250,6278
6279,6293
6294,6412
6413,6534
6536,6555
6556,6596
6597,6634
6635,6653
6654,6708
6711,6713
6714,6715
6716,6718
6719,6823
6824,6844
6845,6879
6880,6903
6904,6976
6977,7003
7004,7014
7015,7021
7022,7115
7116,7157
7158,7263
7264,7317
7318,7354
7355,7398
7399,7454
7455,7512
7514,7569
7570,7581
7582,7612
7613,7641
7642,7687
7690,7791
7792,7853
7854,7892
7893,8008
8009,8095
8096,8177
8178,8281
8282,8344
8345,8505
8506,8521
8524,8551
8552,8628
8629,8667
8668,8757
8758,8794
8795,8995
8996,9064
9065,9233
9234,9307
9322,9364
9367,9435
9436,9464
9465,9508
9509,9548
9549,9568
9569,9589
9590,9626
9627,9661
9662,9689
9690,9928
9929,9970
9971,10046
10052,10078
10079,10132
10133,10223
10224,10253
10254,10384
10385,10476
10478,10599
10600,10630
10631,10667
10668,10892
10894,10955
10956,11043
11044,11069
11070,11098
11099,11143
11144,11230
11231,11500
11501,11723
11727,11877
11878,11924
11925,11965
11966,11989
11990,12038
12041,12216
12217,12249
12250,12312
12313,12667
12668,12776
12777,12913
12914,13048
13050,13086
13087,13364
13365,13562
13563,13569
13571,13632
13633,13737
13738,13818
13819,13853
13854,13898
13899,13931
13932,14170
14171,14221
14222,14268
14269,14476
14479,14585
14586,14651
14653,14917
14918,15087
15088,15808
15809,15836
15837,16034
16035,16259
16260,16333
16334,16483
16485,16585
16587,16768
16771,16803
16804,16862
16863,17004
17005,17112
17113,17136
17137,17168
17169,17262
17263,17319
17320,17663
17664,17961
17962,18229
18232,18294
18297,18393
18405,18502
18504,18615
18616,18660
